name,value,currency,stage,close_date,tags,notes
Northstar Studio — Pilot,12000,usd,lead,2026-09-08,crm-demo,Fictional opportunity. Link Company to Northstar Studio and choose a primary contact.
Maple Harbor — Pilot,24000,eur,qualified,2026-09-10,crm-demo,Fictional opportunity. Link Company to Maple Harbor and choose a primary contact.
Cedar Workshop — Pilot,8500,usd,proposal,2026-09-16,crm-demo,Fictional opportunity. Link Company to Cedar Workshop and choose a primary contact.
Orbit Fieldworks — Pilot,42000,inr,negotiation,2026-10-01,crm-demo,Fictional opportunity. Link Company to Orbit Fieldworks and choose a primary contact.
Willow Systems — Pilot,12000,usd,won,2026-09-01,crm-demo,Fictional opportunity. Link Company to Willow Systems and choose a primary contact.
Harborlight Labs — Pilot,24000,eur,lost,,crm-demo,Fictional opportunity. Link Company to Harborlight Labs and choose a primary contact.
Meadow Works — Pilot,8500,usd,lead,2026-09-08,crm-demo,Fictional opportunity. Link Company to Meadow Works and choose a primary contact.
Juniper Collective — Pilot,42000,inr,qualified,2026-09-10,crm-demo,Fictional opportunity. Link Company to Juniper Collective and choose a primary contact.
Northstar Studio — Expansion,12000,usd,proposal,2026-09-16,crm-demo,Fictional opportunity. Link Company to Northstar Studio and choose a primary contact.
Maple Harbor — Expansion,24000,eur,negotiation,2026-10-01,crm-demo,Fictional opportunity. Link Company to Maple Harbor and choose a primary contact.
Cedar Workshop — Expansion,8500,usd,won,2026-09-01,crm-demo,Fictional opportunity. Link Company to Cedar Workshop and choose a primary contact.
Orbit Fieldworks — Expansion,42000,inr,lost,,crm-demo,Fictional opportunity. Link Company to Orbit Fieldworks and choose a primary contact.
